week,n,closed,rate,week_idx
2009-03-30,37,3,0.08108108108108109,0
2009-04-06,119,15,0.12605042016806722,1
2009-04-13,125,16,0.128,2
2009-04-20,155,14,0.09032258064516129,3
2009-04-27,129,10,0.07751937984496124,4
2009-05-04,113,10,0.08849557522123894,5
2009-05-11,166,12,0.07228915662650602,6
2009-05-18,122,8,0.06557377049180328,7
2009-05-25,132,5,0.03787878787878788,8
2009-06-01,137,10,0.072992700729927,9
2009-06-08,165,17,0.10303030303030303,10
2009-06-15,153,21,0.13725490196078433,11
2009-06-22,107,9,0.08411214953271028,12
2009-06-29,101,9,0.0891089108910891,13
2009-07-06,104,8,0.07692307692307693,14
2009-07-13,115,6,0.05217391304347826,15
2009-07-20,144,11,0.0763888888888889,16
2009-07-27,136,9,0.0661764705882353,17
2009-08-03,95,11,0.11578947368421053,18
2009-08-10,116,14,0.1206896551724138,19
2009-08-17,104,4,0.038461538461538464,20
2009-08-24,89,7,0.07865168539325842,21
2009-08-31,74,3,0.04054054054054054,22
2009-09-07,65,5,0.07692307692307693,23
2009-09-14,95,4,0.042105263157894736,24
2009-09-21,82,4,0.04878048780487805,25
2009-09-28,41,0,0.0,26
