,coef,OR,p,CI_low,CI_high
Intercept,-1.3604366731937825,0.25654872453928823,0.0024817544909927617,0.10627436732636605,0.6193144190697686
C(widget_simple)[T.1DC-BlueMeter],0.48673903279426994,1.6270019598160201,0.16352469287064975,0.820408645158224,3.2266059028847067
C(widget_simple)[T.1DC-CreditSolutions],-0.1367890287474369,0.8721542061894835,0.5242081962787859,0.572492767292219,1.3286682432194747
C(widget_simple)[T.1DC-Head2],0.3437040441966844,1.4101612283445497,0.3557001098008815,0.6799909280684088,2.924384146675198
C(widget_simple)[T.1DC-Head3],-0.5251041445373199,0.5914937603150124,0.33644489170985015,0.20274246308746427,1.7256615272581532
C(widget_simple)[T.1DC-white],-0.16913352192556483,0.844396150458759,0.5167465967826143,0.506409310227027,1.4079615925503544
C(widget_simple)[T.1DC-yellowarrow-blue],-0.26847436784307954,0.7645450194966104,0.41227720777708254,0.40241729551221556,1.4525446429757856
C(widget_simple)[T.1DC-yellowarrow-dark],-0.19587900235536013,0.8221117022399967,0.6075407208945793,0.389302963859982,1.7360968543846738
C(widget_simple)[T.2DC-BlueMeter],-0.371555125523691,0.6896609868581601,0.42383970506804636,0.2774535715249635,1.7142770020222178
C(widget_simple)[T.2DC-CreditSolutions],-0.180539177710122,0.834819973721321,0.6988777818254484,0.33444957975488104,2.0837950791711104
C(widget_simple)[T.Other],-0.4155570473456641,0.659972542337731,0.5084069322710463,0.19259819522044547,2.2615152553282614
C(PartnerClean)[T.Advertise.com],1.297581676732519,3.6604338430194843,0.30603352683393736,0.3051220767958929,43.91283665811344
C(PartnerClean)[T.Call_Center],-0.38036841180784003,0.6836095129978949,0.27548718205373235,0.3450730146807189,1.354269810676479
C(PartnerClean)[T.Google-Display],-1.172616003911246,0.30955608120218664,0.00017151508048929406,0.1679239688652874,0.5706449654374702
C(PartnerClean)[T.Google-Search],-0.21369028550613567,0.8075984712447857,0.4126710113520401,0.48434870478214576,1.3465820891381832
C(PartnerClean)[T.yahoo],-0.5159285995846666,0.5969460133460576,0.05258367726016667,0.35429793169614754,1.005776525829
C(state_top)[T.AZ],-0.25975655719845675,0.7712393156115567,0.5835767176748845,0.3046744452124132,1.9522808403911007
C(state_top)[T.CA],-0.33968137610394583,0.7119971459296657,0.33648685159504543,0.3561620384355072,1.4233407300755465
C(state_top)[T.CO],-0.7327347305406893,0.4805928992542979,0.147048192974924,0.1785036091070726,1.2939208118481698
C(state_top)[T.FL],-0.6060476277081107,0.5455026434998966,0.12987352110730008,0.2490002271610493,1.1950717373157647
C(state_top)[T.IL],-0.4652233040211379,0.6279948557545483,0.2704608378185507,0.27454349826834595,1.4364847149601812
C(state_top)[T.LA],-0.7179081061097302,0.4877715557921286,0.20140206693584006,0.1621427801739988,1.4673554405848692
C(state_top)[T.MD],-0.7498856227894176,0.4724205837995916,0.15833428906571323,0.16666883941967284,1.339069791177796
C(state_top)[T.MI],-0.5473231896624116,0.5784962644559085,0.21944812863241636,0.24149969560156354,1.3857488604936927
C(state_top)[T.MO],-0.6968904778985416,0.49813185003252125,0.18745406902964723,0.17673532994092353,1.403993984110394
C(state_top)[T.NY],-0.7943822573536283,0.4518602820904993,0.04887694066405099,0.20497800708493985,0.9960957150212575
C(state_top)[T.Other],-0.3858649780608522,0.6798623158115753,0.26336515158014107,0.34575033451486176,1.3368396855182514
C(state_top)[T.TX],-0.4098329469242582,0.6637611242124913,0.27206017383905057,0.31944273042033683,1.3792106943116136
C(state_top)[T.VA],-0.42929407509326406,0.6509684674175765,0.32892760678770216,0.27495679991637406,1.541187363618109
C(DebtLevelClean)[T.20001-30000],0.04402719486770665,1.0450107734317582,0.8578850407917855,0.6454104050081264,1.6920203146937047
C(DebtLevelClean)[T.30001-50000],-0.0892948925922885,0.9145758321660433,0.7176257667827268,0.5636900120794797,1.4838810957400328
C(DebtLevelClean)[T.50001-70000],0.07520012676938835,1.0780998859439832,0.7951661462021826,0.6110731271393885,1.902062637762344
C(DebtLevelClean)[T.70001-90000],0.5415883052457773,1.718734570529157,0.08516083617844918,0.9277223613332206,3.184194589949101
C(DebtLevelClean)[T.7500-15000],-0.13487429243967056,0.8738257512874031,0.5339597089111197,0.5712714253545286,1.3366176036883437
C(DebtLevelClean)[T.90000-100000],0.3193994222428794,1.3763009403428859,0.42611416321404294,0.6267631035275901,3.0222013193304207
C(DebtLevelClean)[T.More_than_100000],-0.8642791456651133,0.421355178886248,0.042994272444789594,0.1824442097118169,0.9731204243461545
